ID,Case Number,Date,Time,AM/PM,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats,Wards 2023-
13293808,JG523922,11/30/2023,12:00:00,AM,063XX S LOOMIS BLVD,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,CTA TRAIN,FALSE,FALSE,725,7,16,67,14,2023,12/7/2023 15:41,41.7790887,-87.65935003,"(41.779088703, -87.659350027)",19,"22,257",65,279,2,23,17,204,16
13292717,JG522626,11/29/2023,10:55:00,PM,0000X E ROOSEVELT RD,1811,NARCOTICS,POSSESS - CANNABIS 30 GRAMS OR LESS,CTA STATION,TRUE,FALSE,123,1,4,32,18,2023,12/7/2023 15:41,41.86742869,-87.62634257,"(41.867428687, -87.626342565)",48,"14,913",38,374,10,35,22,144,34
13292416,JG522378,11/29/2023,4:20:00,PM,049XX S WESTERN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,CTA PARKING LOT / GARAGE / OTHER PROPERTY,FALSE,FALSE,922,9,15,63,14,2023,12/7/2023 15:41,41.80462016,-87.68436817,"(41.80462016, -87.684368169)",29,"14,924",61,775,3,37,23,115,15
13375865,JH160566,11/29/2023,4:00:00,PM,007XX E 111TH ST,265,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - OTHER,CTA BUS,FALSE,FALSE,531,5,9,50,2,2023,2/23/2024 15:41,41.69283384,-87.60431945,"(41.692833841, -87.60431945)",30,"21,861",47,601,43,19,10,265,11
13292328,JG522070,11/29/2023,3:30:00,PM,035XX S DR MARTIN LUTHER KING JR DR,460,BATTERY,SIMPLE,CTA BUS,FALSE,FALSE,212,2,4,35,08B,2023,12/7/2023 15:41,41.83101411,-87.61731704,"(41.831014114, -87.617317037)",1,"4,301",1,222,10,36,24,101,9
13292066,JG521773,11/29/2023,11:30:00,AM,022XX N CALIFORNIA AVE,520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,CTA TRAIN,FALSE,FALSE,1431,14,1,22,04A,2023,12/7/2023 15:41,41.92203975,-87.69733018,"(41.922039747, -87.697330182)",24,"22,535",23,322,41,1,7,184,1
13294408,JG524740,11/29/2023,11:00:00,AM,002XX W WASHINGTON ST,530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,CTA TRAIN,FALSE,FALSE,122,1,34,32,04A,2023,12/7/2023 15:41,41.88320973,-87.63422924,"(41.883209726, -87.63422924)",22,"14,914",38,92,36,46,22,79,34
13291861,JG521536,11/29/2023,8:35:00,AM,046XX N BROADWAY,460,BATTERY,SIMPLE,CTA TRAIN,FALSE,FALSE,1913,19,46,3,08B,2023,12/7/2023 15:41,41.966054,-87.6578904,"(41.966053999, -87.657890403)",37,"22,616",31,241,39,15,5,4,46
13291937,JG521406,11/29/2023,2:19:00,AM,045XX N BROADWAY,460,BATTERY,SIMPLE,CTA TRAIN,FALSE,FALSE,1913,19,46,3,08B,2023,12/7/2023 15:41,41.96416436,-87.65668227,"(41.96416436, -87.656682274)",37,"22,616",31,241,39,15,5,4,46
13292038,JG521404,11/29/2023,2:15:00,AM,017XX W 18TH ST,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,CTA STATION,FALSE,FALSE,1234,12,25,31,14,2023,12/7/2023 15:41,41.85774474,-87.66965834,"(41.857744741, -87.669658337)",8,"14,920",33,343,26,43,15,121,25
